Source,Target,Weight,Ref,Group,Color,Label,TargetGroup,TargetColor,TargetLabel,Portal
apex:classes:apex_classes_with_security_stripInaccessible,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_perms_enforcing_htm,1,xref,apex,#0b5cab,Apex - Apex Classes With Security Stripinaccessible,https,maroon,External Link,dev_guides
apex:classes:apex_classes_security,help:help:code:code_apex_access_via_list,1,conref,apex,#0b5cab,Apex - Apex Classes Security,help,#936AAB,Help,dev_guides
apex:classes:apex_classes_security,help:help:code:code_apex_access_via_detail,1,conref,apex,#0b5cab,Apex - Apex Classes Security,help,#936AAB,Help,dev_guides
apex:classes:apex_classes_perms_enforcing,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_sobject_describe_htm,1,xref,apex,#0b5cab,Apex - Apex Classes Perms Enforcing,https,maroon,External Link,dev_guides
apex:classes:apex_classes_perms_enforcing,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_fields_describe_htm,1,xref,apex,#0b5cab,Apex - Apex Classes Perms Enforcing,https,maroon,External Link,dev_guides
apex:classes:apex_classes_perms_enforcing,https:help_salesforce_com_articleView,2,xref,apex,#0b5cab,Apex - Apex Classes Perms Enforcing,https,maroon,External Link,dev_guides
apex:classes:apex_classes_perms_enforcing,https:developer_salesforce_com_docs_atlas_en-us_communities_dev_meta_communities_dev_communities_dev_pii_settings_htm,1,xref,apex,#0b5cab,Apex - Apex Classes Perms Enforcing,https,maroon,External Link,dev_guides
apex:classes:apex_classes_extending,https:developer_salesforce_com_docs_atlas_en-us_sfdx_dev_meta_sfdx_dev_sfdx_dev_unlocked_namespace_visibility_htm,1,xref,apex,#0b5cab,Apex - Apex Classes Extending,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_System_Json_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_System_JsonGenerator_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_System_JsonParser_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_boolean_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_date_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_datetime_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_decimal_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_double_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_enum_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_id_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_integer_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_long_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_string_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_methods_system_json_overview,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_time_htm,1,xref,apex,#0b5cab,Apex - Apex Methods System Json Overview,https,maroon,External Link,dev_guides
apex:integration:apex_xml_dom,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_restful_http_httprequest_htm,2,xref,apex,#0b5cab,Apex - Apex Xml Dom,https,maroon,External Link,dev_guides
apex:integration:apex_xml_dom,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_restful_http_httpresponse_htm,2,xref,apex,#0b5cab,Apex - Apex Xml Dom,https,maroon,External Link,dev_guides
apex:integration:apex_xml_dom,docs:atlas_en-us_apexcode_meta:apexcode:apex_classes_,1,xref,apex,#0b5cab,Apex - Apex Xml Dom,docs,#fcc003,Experience Cloud,dev_guides
apex:integration:apex_xml_dom,docs:atlas_en-us_apexcode_meta:apexcode:apex_classes_xml_dom_,1,xref,apex,#0b5cab,Apex - Apex Xml Dom,docs,#fcc003,Experience Cloud,dev_guides
apex:integration:apex_xml_dom,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_methods_system_enum_htm,1,xref,apex,#0b5cab,Apex - Apex Xml Dom,https,maroon,External Link,dev_guides
apex:integration:apex_json_json,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_class_System_Json_htm,1,xref,apex,#0b5cab,Apex - Apex Json Json,https,maroon,External Link,dev_guides
apex:debugging:apex_debugging_API_calls,https:developer_salesforce_com_docs_atlas_en-us_api_meta_api_sforce_api_header_debuggingheader_htm,1,xref,apex,#0b5cab,Apex - Apex Debugging Api Calls,https,maroon,External Link,dev_guides
apex:debugging:apex_exception_builtin,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_classes_exception_methods_htm,1,xref,apex,#0b5cab,Apex - Apex Exception Builtin,https,maroon,External Link,dev_guides
apex:debugging:apex_debugging_system_log_console,help:help:code:code_setting_debug_log_levels,3,xref,apex,#0b5cab,Apex - Apex Debugging System Log Console,help,#936AAB,Help,dev_guides
apex:debugging:apex_debugging_system_log_console,help:help:code:code_dev_console_tab_query_editor_query_plans,1,xref,apex,#0b5cab,Apex - Apex Debugging System Log Console,help,#936AAB,Help,dev_guides
apex:debugging:apex_debugging_system_log_console,https:developer_salesforce_com_docs_atlas_en-us_api_rest_meta_api_rest_dome_query_explain_htm,1,xref,apex,#0b5cab,Apex - Apex Debugging System Log Console,https,maroon,External Link,dev_guides
apex:debugging:apex_debugging_debug_log,resource_files:reusables_global:reusable_apiversion,2,conref,apex,#0b5cab,Apex - Apex Debugging Debug Log,resource_files,Cyan,Resources,dev_guides
apex:limits:apex_gov_limits,https:developer_salesforce_com_docs_atlas_en-us_api_rest_meta_api_rest_dome_limits_htm,1,xref,apex,#0b5cab,Apex - Apex Gov Limits,https,maroon,External Link,dev_guides
apex:limits:apex_gov_limits,https:developer_salesforce_com_docs_atlas_en-us_api_rest_meta_api_rest_,1,xref,apex,#0b5cab,Apex - Apex Gov Limits,https,maroon,External Link,dev_guides
apex:limits:apex_gov_limits,resource:limit,1,conref,apex,#0b5cab,Apex - Apex Gov Limits,resource,Cyan,Resource,dev_guides
apex:limits:apex_gov_limits,resource_files:reusables_global:reusable_email_limits,2,conref,apex,#0b5cab,Apex - Apex Gov Limits,resource_files,Cyan,Resources,dev_guides
resource:limit,https:trust_salesforce_com_en_,1,xref,resource,Cyan,Resource - Limit,https,maroon,External Link,dev_guides
resource:limit,https:developer_salesforce_com_docs_atlas_en-us_api_rest_meta_api_rest_resources_limits_htm,1,xref,resource,Cyan,Resource - Limit,https,maroon,External Link,dev_guides
resource:limit,https:trailhead_salesforce_com_content_learn_modules_app-development-without-limits_app-development-without-limits-rate,1,xref,resource,Cyan,Resource - Limit,https,maroon,External Link,dev_guides
resource:limit,https:developer_salesforce_com_docs_atlas_en-us_api_rest_meta_api_rest_resources_composite_htm,2,xref,resource,Cyan,Resource - Limit,https,maroon,External Link,dev_guides
resource:limit,https:help_salesforce_com_articleView,2,xref,resource,Cyan,Resource - Limit,https,maroon,External Link,dev_guides
apex:appendices:apex_shopping_cart_example_walkthru,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_qs_HelloWorld_htm,1,xref,apex,#0b5cab,Apex - Apex Shopping Cart Example Walkthru,https,maroon,External Link,dev_guides
apex:testing:apex_testing_unit_tests_running,https:forcedotcom_github_io_salesforcedx-vscode_,2,xref,apex,#0b5cab,Apex - Apex Testing Unit Tests Running,https,maroon,External Link,dev_guides
apex:testing:apex_testing_unit_tests_running,https:developer_salesforce_com_docs_atlas_en-us_api_meta_api_sforce_api_calls_runtests_htm,1,xref,apex,#0b5cab,Apex - Apex Testing Unit Tests Running,https,maroon,External Link,dev_guides
apex:testing:apex_testing_unit_tests_running,https:developer_salesforce_com_docs_atlas_en-us_api_meta_api_sforce_api_objects_apextestqueueitem_htm,1,xref,apex,#0b5cab,Apex - Apex Testing Unit Tests Running,https,maroon,External Link,dev_guides
apex:testing:apex_testing_unit_tests_running,https:developer_salesforce_com_docs_atlas_en-us_api_meta_api_sforce_api_objects_apextestresult_htm,1,xref,apex,#0b5cab,Apex - Apex Testing Unit Tests Running,https,maroon,External Link,dev_guides
apex:forcecom:ApprovalProcessing:apex_process,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_ProcessRequest_htm,1,xref,apex,#0b5cab,Apex - Apex Process,https,maroon,External Link,dev_guides
apex:forcecom:ApprovalProcessing:apex_process,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_ProcessResult_htm,1,xref,apex,#0b5cab,Apex - Apex Process,https,maroon,External Link,dev_guides
apex:forcecom:ApprovalProcessing:apex_process,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_ProcessSubmitRequest_htm,1,xref,apex,#0b5cab,Apex - Apex Process,https,maroon,External Link,dev_guides
